timestamp [s],position_lat [semicircles],position_long [semicircles],distance [m],enhanced_speed [m/s],enhanced_altitude [m],heart_rate [bpm]
1054048835,383119536,415093242.0,1248.11,2.865,17.200000000000045,142.0
1054048836,383119709,415093171.0,1249.78,1.689,17.200000000000045,141.0
1054048839,383120106,415093180.0,1253.43,0.84,17.0,141.0
1054048846,383120101,415093193.0,1254.48,0.0,16.399999999999977,141.0
1054048852,383120288,415092982.0,1256.89,1.549,16.0,139.0
1054048853,383120396,415092695.0,1259.24,2.463,15.799999999999956,139.0
1054048859,383120369,415090145.0,1279.37,3.126,14.799999999999956,138.0
1054048867,383119836,415086167.0,1311.26,3.742,13.799999999999956,137.0
1054048872,383119354,415083005.0,1336.69,5.029,13.799999999999956,135.0
1054048877,383118949,415079647.0,1363.52,5.02,14.600000000000025,132.0
1054048880,383118767,415077454.0,1380.95,5.263,14.600000000000025,130.0
1054048885,383118375,415073447.0,1412.86,6.597,13.799999999999956,127.0
1054048886,383118268,415072588.0,1419.72,6.821,13.600000000000025,126.0
1054048888,383118106,415070800.0,1433.95,7.054,13.200000000000044,123.0
1054048891,383117913,415068000.0,1456.16,6.942,13.0,120.0
1054048893,383117765,415066134.0,1470.98,7.119,12.799999999999956,119.0
1054048898,383117544,415061543.0,1507.38,7.25,11.399999999999975,116.0
1054048900,383117568,415059944.0,1520.03,6.065,10.600000000000025,115.0
1054048901,383117579,415059244.0,1525.53,5.944,10.399999999999975,115.0
1054048904,383117656,415057610.0,1538.47,3.891,9.600000000000025,113.0
1054048909,383117429,415055702.0,1553.61,2.594,9.399999999999975,113.0
1054048913,383117477,415055426.0,1555.81,0.0,9.199999999999989,113.0
1054048922,383117477,415055426.0,1555.81,0.0,8.399999999999977,116.0
1054048927,383117477,415055426.0,1555.81,0.0,8.199999999999989,116.0
1054048930,383117477,415055426.0,1555.81,0.0,8.199999999999989,112.0
1054048942,383117236,415054290.0,1565.09,2.585,8.199999999999989,111.0
1054048946,383116814,415053022.0,1575.82,2.426,8.0,110.0
1054048947,383116531,415052883.0,1578.61,2.585,8.0,110.0
1054048952,383114444,415052588.0,1598.18,3.975,7.600000000000023,111.0
1054048957,383112428,415051971.0,1617.59,3.928,7.199999999999989,111.0
1054048959,383111815,415051560.0,1624.09,3.928,7.199999999999989,114.0
1054048961,383111152,415051614.0,1630.18,3.536,7.0,116.0
1054048964,383109975,415051554.0,1641.1,3.527,7.199999999999989,117.0
1054048965,383109599,415051390.0,1644.82,3.527,7.199999999999989,117.0
1054048971,383106718,415050994.0,1671.8,4.208,7.399999999999977,118.0
1054048974,383105169,415050718.0,1686.36,4.404,7.399999999999977,121.0
1054048976,383104123,415050568.0,1696.16,4.759,7.399999999999977,125.0
1054048980,383102001,415050172.0,1716.15,4.843,7.600000000000023,126.0
