timestamp [s],position_lat [semicircles],position_long [semicircles],distance [m],enhanced_speed [m/s],enhanced_altitude [m],cycle_length16 [m],heart_rate [bpm],cadence [rpm],fractional_cadence [rpm]
1049872253,382495895,414784141.0,574.85,3.088,11.399999999999975,0.0,153.0,82.0,0.5
1049872257,382495158,414782820.0,587.35,3.07,10.0,0.0,152.0,83.0,0.5
1049872264,382493811,414780555.0,609.21,3.079,10.199999999999989,0.0,154.0,82.0,0.5
1049872268,382492951,414779414.0,621.25,3.088,12.399999999999975,0.0,153.0,82.0,0.5
1049872273,382491747,414778225.0,635.63,3.098,14.799999999999956,0.0,150.0,83.0,0.5
1049872275,382491381,414777548.0,641.93,3.088,15.600000000000025,0.0,150.0,83.0,0.5
1049872282,382489837,414775440.0,663.68,3.07,18.0,0.0,151.0,83.0,0.5
1049872283,382489568,414775191.0,666.76,3.07,18.200000000000045,0.0,151.0,82.0,0.5
1049872290,382487909,414773207.0,688.81,3.088,22.600000000000023,0.0,152.0,83.0,0.5
1049872292,382487632,414772573.0,694.36,3.088,24.0,0.0,152.0,82.0,0.5
1049872298,382486299,414770579.0,714.38,3.088,27.0,0.0,153.0,82.0,0.5
1049872305,382485333,414768033.0,736.12,3.088,30.799999999999955,0.0,153.0,82.0,0.5
1049872307,382485046,414767314.0,742.32,3.088,31.0,0.0,154.0,82.0,0.0
1049872314,382483445,414765474.0,762.88,3.088,30.399999999999977,0.0,155.0,83.0,0.5
1049872316,382483281,414764648.0,769.37,3.088,30.200000000000045,0.0,155.0,82.0,0.5
1049872323,382482277,414762357.0,789.74,3.079,29.200000000000045,0.0,155.0,81.0,0.5
1049872327,382481811,414760720.0,803.51,3.079,28.600000000000023,0.0,154.0,83.0,0.5
1049872334,382480202,414758962.0,823.93,3.088,27.0,0.0,152.0,82.0,0.5
1049872335,382479976,414758720.0,826.76,3.088,27.0,0.0,151.0,82.0,0.5
1049872342,382478817,414756397.0,848.1,3.088,27.600000000000023,0.0,153.0,81.0,0.5
1049872344,382478556,414755770.0,853.62,3.088,27.0,0.0,156.0,82.0,0.5
1049872347,382478110,414754768.0,862.57,3.088,26.399999999999977,300.0,153.0,82.0,0.5
1049872354,382477105,414752267.0,884.47,3.098,25.0,0.0,153.0,81.0,0.5
1049872355,382476974,414751897.0,887.64,3.098,24.600000000000023,0.0,153.0,81.0,0.5
1049872362,382476013,414749358.0,909.64,3.116,21.799999999999955,0.0,154.0,82.0,0.5
1049872364,382475827,414748597.0,915.9,3.126,20.799999999999955,0.0,155.0,82.0,0.5
1049872371,382475799,414745922.0,937.11,3.144,19.200000000000045,0.0,157.0,81.0,0.5
1049872373,382475762,414745251.0,942.43,3.144,19.200000000000045,0.0,157.0,83.0,0.5
1049872376,382475565,414744193.0,951.0,3.144,19.0,0.0,154.0,82.0,0.5
1049872382,382475033,414742188.0,967.73,3.126,18.799999999999955,0.0,153.0,83.0,0.5
1049872389,382473869,414739985.0,988.2,3.098,18.0,0.0,153.0,82.0,0.5
1049872394,382473199,414738448.0,1001.77,3.079,20.0,0.0,152.0,82.0,0.5
1049872395,382472996,414738117.0,1004.98,3.079,20.399999999999977,0.0,152.0,82.0,0.5
1049872396,382472836,414737773.0,1008.07,3.07,21.0,0.0,152.0,82.0,0.5
1049872404,382471828,414735210.0,1030.4,3.014,24.600000000000023,0.0,154.0,83.0,0.5
1049872406,382471468,414734563.0,1036.52,3.004,24.399999999999977,0.0,152.0,83.0,0.5
1049872413,382470349,414732005.0,1059.25,3.004,21.0,0.0,153.0,82.0,0.5
1049872415,382469962,414731366.0,1065.46,3.014,20.399999999999977,0.0,153.0,82.0,0.5
1049872422,382468879,414728930.0,1087.29,3.032,19.0,0.0,154.0,82.0,0.5
1049872423,382468763,414728620.0,1089.97,3.042,18.799999999999955,0.0,155.0,81.0,0.5
1049872429,382468089,414726481.0,1108.09,3.042,17.200000000000045,0.0,158.0,82.0,0.5
1049872432,382467942,414725397.0,1116.78,3.051,16.399999999999977,0.0,159.0,81.0,0.5
1049872439,382467699,414722672.0,1138.5,3.051,15.200000000000044,0.0,163.0,81.0,0.5
1049872440,382467652,414722373.0,1140.9,3.051,15.0,0.0,164.0,81.0,0.5
1049872443,382467441,414721277.0,1149.81,3.051,14.399999999999975,0.0,167.0,82.0,0.5
1049872448,382467110,414719568.0,1163.82,3.042,13.399999999999975,0.0,165.0,81.0,0.5
1049872455,382467221,414716714.0,1186.47,3.023,11.600000000000025,0.0,163.0,82.0,0.5
1049872459,382467212,414715097.0,1199.29,3.032,10.600000000000025,0.0,163.0,82.0,0.5
1049872461,382467074,414714284.0,1205.86,3.042,10.199999999999989,0.0,163.0,81.0,0.5
1049872468,382466598,414711569.0,1227.8,3.06,9.800000000000011,0.0,163.0,81.0,0.5
1049872475,382466172,414708904.0,1249.26,3.06,10.800000000000011,0.0,162.0,81.0,0.5
